row,actual,predicted,prob_0,prob_1
540,1,1,0.000126309395249935,0.9998736906047501
261,0,0,0.9360966611399173,0.06390333886008273
504,1,1,0.0006685128016671316,0.9993314871983329
506,1,1,0.009137780483228664,0.9908622195167713
307,1,1,3.2110011324304466e-06,0.9999967889988676
171,0,0,0.9089071851251994,0.09109281487480059
204,1,1,0.14582595972668067,0.8541740402733193
321,0,0,0.9997509256051171,0.0002490743948828845
526,1,1,0.443149429725042,0.556850570274958
536,0,0,0.719075535233382,0.28092446476661803
158,1,1,0.00035936926548851833,0.9996406307345115
406,1,1,0.17110890487499075,0.8288910951250092
275,1,1,0.017933551951822224,0.9820664480481778
383,1,1,0.007926504659186095,0.9920734953408139
495,1,1,0.09370928171100024,0.9062907182889998
156,0,0,0.999513123181115,0.0004868768188850441
548,1,1,0.00015533887887131392,0.9998446611211287
284,1,1,0.0005162806557372779,0.9994837193442627
358,1,1,2.4626588666087912e-05,0.9999753734113339
257,0,0,0.9990062606016115,0.00099373939838859
508,1,1,0.18900493982897326,0.8109950601710267
340,1,1,0.3227190781818595,0.6772809218181405
83,0,0,0.9988132504283161,0.001186749571683905
292,1,1,0.02000489415656248,0.9799951058434375
138,0,0,0.9995356343446615,0.0004643656553385198
199,0,0,0.998329808156506,0.0016701918434940594
246,1,1,0.001956843412951881,0.9980431565870481
535,0,0,0.9999983185374668,1.6814625332133943e-06
168,0,0,0.9999987906826997,1.2093173002584485e-06
444,0,0,0.9737617836939962,0.026238216306003783
408,0,0,0.9995675193090771,0.00043248069092292744
483,1,1,0.017142364713621183,0.9828576352863788
324,1,1,0.0013667380851176691,0.9986332619148823
466,1,1,0.15029400797236447,0.8497059920276355
128,1,1,0.13920988673097512,0.8607901132690249
511,1,1,0.0047050514208644145,0.9952949485791356
192,1,1,6.599801249951298e-08,0.9999999340019875
363,1,1,0.45699814039094855,0.5430018596090515
343,0,0,0.9999971595045984,2.8404954015375647e-06
116,1,1,1.3099188868048728e-06,0.9999986900811132
228,1,1,0.1129685409556106,0.8870314590443894
397,1,1,0.0005683882964087061,0.9994316117035913
266,1,1,0.0009747013820217143,0.9990252986179783
123,1,1,0.03564916799469531,0.9643508320053047
308,1,1,8.35035101285353e-05,0.9999164964898715
242,1,1,0.024121374332534473,0.9758786256674655
568,1,1,2.6654231610301338e-05,0.9999733457683897
247,1,1,0.014791413678360565,0.9852085863216394
137,1,1,0.0005836786705585295,0.9994163213294415
385,0,0,0.7909769878312565,0.20902301216874358
534,1,1,0.0006915882490083902,0.9993084117509916
20,1,1,0.004367185416703778,0.9956328145832962
407,1,1,0.0015839110930814249,0.9984160889069186
490,1,1,0.03105322417663159,0.9689467758233684
291,1,1,0.4597010902618124,0.5402989097381876
203,0,0,0.9999978348754347,2.165124565336079e-06
422,1,1,0.0041097489398661535,0.9958902510601338
432,0,0,0.9999875731374456,1.2426862554472815e-05
64,0,0,0.9971762395496879,0.002823760450312032
492,0,0,0.9997680507542196,0.00023194924578039442
326,1,1,0.001570930612270094,0.9984290693877299
398,1,1,0.0001640573876519058,0.9998359426123481
359,1,1,0.0016794804233274396,0.9983205195766726
198,0,0,0.9999291985816978,7.080141830220468e-05
3,0,0,0.998996135714174,0.0010038642858260466
549,1,1,0.009302764336047598,0.9906972356639524
103,1,1,0.00303489253498479,0.9969651074650152
1,0,0,0.999958255595381,4.17444046190119e-05
256,0,0,0.9999997607442537,2.3925574632302116e-07
200,1,1,0.09821310664010041,0.9017868933598996
372,0,0,0.9991820159683027,0.0008179840316973129
445,1,1,0.050294616834655526,0.9497053831653445
541,1,0,0.6251706071461305,0.3748293928538695
